ID,pos,vert L,vert W,vert H,edge L,edge W,edge H
37,2,0,0,0,500,2039,480
37,2,0,0,480,500,2039,480
37,2,0,0,960,500,2039,480
37,2,0,0,1440,500,2039,480
37,2,0,0,1920,500,2039,480
1,2,500,0,0,810,740,600
1,2,500,0,600,810,740,600
1,2,500,0,1200,810,740,600
1,2,500,0,1800,810,740,600
2,2,500,740,0,810,740,600
2,2,500,740,600,810,740,600
2,2,500,740,1200,810,740,600
2,2,500,740,1800,810,740,600
10,2,500,1480,0,810,740,600
10,2,500,1480,600,810,740,600
10,2,500,1480,1200,810,740,600
10,2,500,1480,1800,810,740,600
15,2,1310,0,0,810,1090,711
15,2,1310,1090,0,810,1090,711
3,2,1310,0,711,810,1090,600
3,2,1310,1090,711,810,1090,600
3,2,1310,0,1311,810,1090,600
3,2,1310,1090,1311,810,1090,600
3,2,1310,0,1911,810,1090,600
3,2,1310,1090,1911,810,1090,600
15,2,2120,0,0,810,1090,711
15,2,2120,1090,0,810,1090,711
3,2,2120,0,711,810,1090,600
3,2,2120,1090,711,810,1090,600
3,2,2120,0,1311,810,1090,600
3,2,2120,1090,1311,810,1090,600
3,2,2120,0,1911,810,1090,600
3,2,2120,1090,1911,810,1090,600
15,2,2930,0,0,810,1090,711
15,2,2930,1090,0,810,1090,711
3,2,2930,0,711,810,1090,600
3,2,2930,0,1311,810,1090,600
4,2,2930,1090,711,810,1090,600
4,2,2930,1090,1311,810,1090,600
4,2,2930,0,1911,810,1090,600
4,2,2930,1090,1911,810,1090,600
19,2,3740,0,0,810,1090,711
19,2,3740,1090,0,810,1090,711
4,2,3740,0,711,810,1090,600
4,2,3740,1090,711,810,1090,600
4,2,3740,0,1311,810,1090,600
4,2,3740,0,1911,810,1090,600
5,2,3740,1090,1311,810,1090,600
5,2,3740,1090,1911,810,1090,600
20,2,4550,0,0,810,1090,711
20,2,4550,1090,0,810,1090,711
5,2,4550,0,711,810,1090,600
5,2,4550,1090,711,810,1090,600
5,2,4550,0,1311,810,1090,600
5,2,4550,1090,1311,810,1090,600
5,2,4550,0,1911,810,1090,600
5,2,4550,1090,1911,810,1090,600
20,2,5360,0,0,810,1090,711
20,2,5360,1090,0,810,1090,711
5,2,5360,0,711,810,1090,600
5,2,5360,0,1311,810,1090,600
6,2,5360,1090,711,810,1090,600
6,2,5360,1090,1311,810,1090,600
6,2,5360,0,1911,810,1090,600
6,2,5360,1090,1911,810,1090,600
21,2,6170,0,0,810,1090,711
21,2,6170,1090,0,810,1090,711
6,2,6170,0,711,810,1090,600
6,2,6170,0,1311,810,1090,600
7,2,6170,1090,711,810,1090,600
7,2,6170,1090,1311,810,1090,600
7,2,6170,0,1911,810,1090,600
7,2,6170,1090,1911,810,1090,600
21,2,6980,0,0,810,1090,711
21,2,6980,1090,0,810,1090,711
11,2,6980,0,711,810,1090,600
11,2,6980,1090,711,810,1090,600
11,2,6980,0,1311,810,1090,600
11,2,6980,1090,1311,810,1090,600
11,2,6980,0,1911,810,1090,600
11,2,6980,1090,1911,810,1090,600
22,2,7790,0,0,810,1090,711
22,2,7790,1090,0,810,1090,711
12,2,7790,0,711,810,1090,600
12,2,7790,0,1311,810,1090,600
13,2,7790,1090,711,810,1090,600
13,2,7790,1090,1311,810,1090,600
13,2,7790,0,1911,810,1090,600
13,2,7790,1090,1911,810,1090,600
22,2,8600,0,0,810,1090,711
22,2,8600,1090,0,810,1090,711
13,2,8600,0,711,810,1090,600
13,2,8600,0,1311,810,1090,600
14,2,8600,1090,711,810,1090,600
14,2,8600,1090,1311,810,1090,600
14,2,8600,0,1911,810,1090,600
14,2,8600,1090,1911,810,1090,600
23,2,9410,0,0,810,1090,711
23,2,9410,1090,0,810,1090,711
14,2,9410,0,711,810,1090,600
14,2,9410,0,1311,810,1090,600
17,2,9410,1090,711,810,1090,600
17,2,9410,1090,1311,810,1090,600
17,2,9410,0,1911,810,1090,600
17,2,9410,1090,1911,810,1090,600
16,2,10220,0,0,810,1090,711
16,2,10220,1090,0,810,1090,711
17,2,10220,0,711,810,1090,600
17,2,10220,1090,711,810,1090,600
17,2,10220,0,1311,810,1090,600
17,2,10220,1090,1311,810,1090,600
17,2,10220,0,1911,810,1090,600
17,2,10220,1090,1911,810,1090,600
8,2,11030,0,0,860,1090,823
8,2,11030,0,823,860,1090,823
26,2,11030,1090,0,860,1190,886
24,2,11030,1090,886,860,1090,823
24,2,11030,1090,1709,860,1090,823
9,2,11030,0,1646,860,1090,823
